-1	
0	Australian Carbon Credit Unit Scheme (ACCU)
0	encourages people and businesses to run projects that reduce emissions or store carbon
0	using new technology
0	upgrading equipment
0	changing business practices to improve productivity or energy use
0	changing the way vegetation is managed
0	ACCUs are a key part of the Australian carbon market. Learn about ACCUs and find out how to earn, buy and sell them
0	How to participate in the ACCU Scheme
0	Eligibility for the ACCU Scheme
0	Find out the requirements and criteria you must meet to register a project under the Australian Carbon Credit Unit (ACCU) Scheme
0	ACCU Scheme methods
0	Learn about the different methods available for ACCU Scheme projects
0	Managing risk and integrity in the ACCU Scheme
0	Learn about risk management and integrity assurance in the ACCU Scheme
1	National Greenhouse and Energy Reporting (NGER) Scheme
1	greenhouse gas emissions
1	energy production
1	energy consumption
1	register under the NGER framework
1	report on their emissions, energy production and consumption each year
1	Learn about the data we collect and publish as part of the National Greenhouse and Energy Reporting (NGER) Scheme
1	Find out if you have reporting obligations under the National Greenhouse and Energy Reporting (NGER) Scheme
1	Register as an NGER reporter
1	Report emissions and energy
1	Record keeping and compliance for greenhouse and energy reporting
1	Records you need to keep, the format and how long to keep them
2	Safeguard Mechanism
2	Learn about the different types of baselines under the Safeguard Mechanism and how they are calculated
2	Find out how safeguard facilities can manage emissions above their baselines
2	Safeguard Mechanism credit units
2	Learn about how Safeguard Mechanism credit units (SMCs) incentivise safeguard facilities to reduce their emissions beyond their baselines
2	Safeguard net emissions
2	Find out more about how a safeguard facility’s net emissions number is determined
2	Safeguard Mechanism resources to help you report and meet application deadlines each financial year
2	Safeguard data
2	Learn about what we’re required to publish about safeguard facilities each financial year

